ingredient,count
'glycerin',956
'water',893
'butylene glycol',765
'phenoxyethanol',731
'vitamin e',681
'disodium edta',533
'sodium hyaluronate',472
'caprylyl glycol',440
'dimethicone',422
'fragrance',415
'xanthan gum',401
'ethylhexylglycerin',384
'citric acid',343
'caprylic/capric triglyceride',307
'carbomer',295
'potassium sorbate',292
'sodium hydroxide',266
'sodium benzoate',249
'limonene',245
'propanediol',240
'glyceryl stearate',240
'linalool',238
'silica',236
'titanium dioxide',218
'pentylene glycol',217
'squalane',212
'caffeine',208
'polysorbate 20',200
'cetearyl alcohol',196
'lecithin',186
'2-hexanediol',180
'stearic acid',178
'acrylates/c10-30 alkyl acrylate crosspolymer',174
'panthenol',173
'peg-100 stearate',171
'orange extract',164
'camellia sinensis leaf extract',164
'bht',161
'hexylene glycol',161
'cyclopentasiloxane',159
'mica',156
'water',155
'cetyl alcohol',154
'citronellol',150
'chlorphenesin',150
'trehalose',150
'alcohol',149
'sodium citrate',144
'sodium pca',131
'betaine',131
'allantoin',131
'geraniol',129
'alcohol denat',127
'sodium chloride',120
'dipropylene glycol',116
'lemon extract',115
'niacinamide',114
'algae extract',114
'helianthus annuus (sunflower) seed oil',114
'phenoxyethanol',112
'lactic acid',107
'hydrogenated lecithin',104
'dipotassium glycyrrhizate',102
'iron oxides',101
'sucrose',100
'tromethamine',100
'adenosine',100
'sorbitol',98
'polysorbate 60',97
'iron oxides',97
'cucumis sativus (cucumber) fruit extract',97
'propylene glycol',96
'glycolic acid',93
'ammonium acryloyldimethyltaurate/vp copolymer',92
'tetrahexyldecyl ascorbate',91
'behenyl alcohol',90
'aloe barbadensis leaf juice',90
'cholesterol',88
'polysilicone-11',88
'glycyrrhiza glabra (licorice) root extract',88
