brand,category,price,product_id
La Mer,Moisturizer,175,0
Sk-Ii,Moisturizer,179,1
Drunk Elephant,Moisturizer,68,2
La Mer,Moisturizer,175,3
It Cosmetics,Moisturizer,38,4
Tatcha,Moisturizer,68,5
Drunk Elephant,Moisturizer,60,6
Drunk Elephant,Moisturizer,72,7
Kiehl'S Since 1851,Moisturizer,29,8
La Mer,Moisturizer,325,9
Fresh,Moisturizer,45,10
Kiehl'S Since 1851,Moisturizer,47,11
Belif,Moisturizer,38,12
Sunday Riley,Moisturizer,105,13
Farmacy,Moisturizer,58,14
Drunk Elephant,Moisturizer,90,15
First Aid Beauty,Moisturizer,30,16
Clinique,Moisturizer,39,17
Fresh,Moisturizer,40,18
Sk-Ii,Moisturizer,230,19
La Mer,Moisturizer,85,20
Bareminerals,Moisturizer,30,21
Shiseido,Moisturizer,78,22
Fresh,Moisturizer,92,23
Belif,Moisturizer,38,24
Charlotte Tilbury,Moisturizer,100,25
Drunk Elephant,Moisturizer,40,26
Origins,Moisturizer,34,27
Clinique,Moisturizer,28,28
Sk-Ii,Moisturizer,240,29
Fresh,Moisturizer,68,30
Tatcha,Moisturizer,48,31
Olehenriksen,Moisturizer,38,32
Josie Maran,Moisturizer,48,33
It Cosmetics,Moisturizer,38,34
Farsáli,Moisturizer,54,35
Laneige,Moisturizer,25,36
Laneige,Moisturizer,35,37
Sk-Ii,Moisturizer,99,38
Dr. Jart+,Moisturizer,39,39
Tatcha,Moisturizer,48,40
Shiseido,Moisturizer,63,41
Clinique,Moisturizer,28,42
Olehenriksen,Moisturizer,55,43
Sunday Riley,Moisturizer,80,44
Glow Recipe,Moisturizer,45,45
Herbivore,Moisturizer,48,46
Tarte,Moisturizer,32,47
Sunday Riley,Moisturizer,65,48
Caudalie,Moisturizer,18,49
Caudalie,Moisturizer,10,50
Youth To The People,Moisturizer,58,51
La Mer,Moisturizer,245,52
Biossance,Moisturizer,72,53
Tarte,Moisturizer,37,54
Shiseido,Moisturizer,57,55
Origins,Moisturizer,29,56
Estée Lauder,Moisturizer,100,57
Son & Park,Moisturizer,30,58
Tatcha,Moisturizer,120,59
Olehenriksen,Moisturizer,44,60
Amorepacific,Moisturizer,60,61
Bobbi Brown,Moisturizer,60,62
Dr. Jart+,Moisturizer,52,63
Caudalie,Moisturizer,39,64
Herbivore,Moisturizer,72,65
Erborian,Moisturizer,44,66
Smashbox,Moisturizer,42,67
Sunday Riley,Moisturizer,65,68
Farsáli,Moisturizer,54,69
It Cosmetics,Moisturizer,38,70
Tatcha,Moisturizer,110,71
Glamglow,Moisturizer,49,72
Estée Lauder,Moisturizer,82,73
Dr. Jart+,Moisturizer,48,74
Sunday Riley,Moisturizer,72,75
Fresh,Moisturizer,52,76
Laneige,Moisturizer,38,77
Amorepacific,Moisturizer,195,78
Glamglow,Moisturizer,59,79
Farmacy,Moisturizer,45,80
Peter Thomas Roth,Moisturizer,52,81
Amorepacific,Moisturizer,145,82
It Cosmetics,Moisturizer,48,83
Fresh,Moisturizer,95,84
Fresh,Moisturizer,290,85
First Aid Beauty,Moisturizer,28,86
It Cosmetics,Moisturizer,68,87
Shiseido,Moisturizer,60,88
Fresh,Moisturizer,40,89
Origins,Moisturizer,45,90
Tarte,Moisturizer,36,91
Clinique,Moisturizer,39,92
Josie Maran,Moisturizer,32,93
Laneige,Moisturizer,36,94
Jack Black,Moisturizer,28,95
Glow Recipe,Moisturizer,39,96
La Mer,Moisturizer,190,97
La Mer,Moisturizer,175,98
Philosophy,Moisturizer,39,99
Perricone Md,Moisturizer,135,100
Lancôme,Moisturizer,122,101
Algenist,Moisturizer,112,102
It Cosmetics,Moisturizer,35,103
Dr. Jart+,Moisturizer,48,104
Clinique,Moisturizer,28,105
Josie Maran,Moisturizer,40,106
Olehenriksen,Moisturizer,40,107
Shiseido,Moisturizer,45,108
Farmacy,Moisturizer,48,109
Origins,Moisturizer,35,110
Herbivore,Moisturizer,88,111
Olehenriksen,Moisturizer,48,112
Belif,Moisturizer,34,113
Charlotte Tilbury,Moisturizer,29,114
Youth To The People,Moisturizer,48,115
Sk-Ii,Moisturizer,229,116
Tatcha,Moisturizer,85,117
Kiehl'S Since 1851,Moisturizer,84,118
Biossance,Moisturizer,58,119
Shiseido,Moisturizer,127,120
Origins,Moisturizer,45,121
Shiseido,Moisturizer,60,122
Make Up For Ever,Moisturizer,30,123
It Cosmetics,Moisturizer,32,124
Kiehl'S Since 1851,Moisturizer,47,125
Bobbi Brown,Moisturizer,47,126
Fresh,Moisturizer,42,127
Korres,Moisturizer,48,128
Fresh,Moisturizer,44,129
Belif,Moisturizer,58,130
Youth To The People,Moisturizer,44,131
Murad,Moisturizer,75,132
It Cosmetics,Moisturizer,38,133
Tarte,Moisturizer,39,134
Smashbox,Moisturizer,32,135
First Aid Beauty,Moisturizer,38,136
Murad,Moisturizer,82,137
Estée Lauder,Moisturizer,65,138
Tatcha,Moisturizer,95,139
Guerlain,Moisturizer,29,140
Biossance,Moisturizer,52,141
Dior,Moisturizer,82,142
Smashbox,Moisturizer,42,143
Origins,Moisturizer,45,144
Kora Organics,Moisturizer,68,145
Laneige,Moisturizer,35,146
Sk-Ii,Moisturizer,225,147
Dr. Dennis Gross Skincare,Moisturizer,75,148
Ren Clean Skincare,Moisturizer,48,149
