Label,Brand,Name,Price,Rank,Ingredients,Combination,Dry,Normal,Oily,Sensitive
Moisturizer,DRUNK ELEPHANT,Virgin Marula Luxury Facial Oil,72,4.4,100% Unrefined Sclerocraya Birrea (Marula) Kernel Oil.,1,1,1,1,0
Moisturizer,DRUNK ELEPHANT,Virgin Marula Luxury Facial Oil Mini,40,4.5,100% Unrefined Sclerocraya Birrea (Marula) Kernel Oil.,1,1,1,1,0
Moisturizer,OLEHENRIKSEN,Sheer Transformation® Perfecting Moisturizer,38,4.2,Visit the OLEHENRIKSEN boutique,1,1,1,1,1
Moisturizer,JOSIE MARAN,100 percent Pure Argan Oil,48,4.5,Organic Argania Spinosa (Argan) Kernel Oil*. *Organic. **Natural.,0,1,0,1,1
Moisturizer,DR. JART+,Premium Beauty Balm SPF 45,39,4.2,#NAME?,0,0,0,0,0
Moisturizer,SHISEIDO,Eudermine Revitalizing Essence,57,4.5,Visit the Shiseido boutique,0,0,0,0,0
Moisturizer,ORIGINS,High-Potency Night-a-Mins™ Oil-Free Resurfacing Cream with Fruit-Derived AHAs,45,4.3,* Essential Oil,0,0,1,1,0
Moisturizer,JOSIE MARAN,Argan Daily Moisturizer SPF 47,32,3.9,**Natural.,1,1,1,1,1
Moisturizer,JACK BLACK,Double-Duty Face Moisturizer Broad Spectrum SPF 20,28,4.5,Visit the Jack Black boutique,0,0,0,0,0
Moisturizer,LA MER,The Moisturizing Cool Gel Cream,175,3.3,Visit the La Mer boutique,1,1,1,1,1
Moisturizer,SHISEIDO,Benefiance WrinkleResist24 Balancing Softener Enriched,45,4.6,Visit the Shiseido boutique,0,0,0,0,0
Moisturizer,ORIGINS,High-Potency Night-a-Mins™ Resurfacing Cream with Fruit-Derived AHAs,45,4.3,* essential oil,0,1,1,0,0
Moisturizer,MAKE UP FOR EVER,Mist & Fix Setting Spray,30,4.2,Visit the MAKE UP FOR EVER boutique,0,0,0,0,0
Moisturizer,ESTÉE LAUDER,Nutritious Vitality8™ Radiant Moisture Creme,65,4.0,Visit the Estée Lauder boutique,0,0,0,0,0
Moisturizer,GUERLAIN,Midnight Secret Late Night Recovery Treatment,29,4.2,Visit the Guerlain boutique,1,1,1,1,1
Moisturizer,DIOR,Capture Dreamskin Fresh & Perfect Cushion Broad Spectrum SPF 50,82,4.2,-Moisturizing Agent: Plumps the skin. -Biomimetic Mica and Soft-Focus Optical Effect Powders: Blur imperfections. -Boosted Longoza: Restores density and radiance. -Opilia: Reduces the appearance of pores and imperfections.,0,0,0,0,0
Moisturizer,DIOR,Capture Totale Dreamskin Advanced,115,4.3,Visit the Dior boutique,1,1,1,1,1
Moisturizer,BIOSSANCE,100% Squalane Oil,58,4.6,-100 Percent Sugarcane-Derived Squalane.,1,1,1,1,1
Moisturizer,GUERLAIN,Abeille Royale Youth Watery Oil,50,4.1,-Black Bee Honey -Ouessant Honey: Repairs skin. -Guerlain Exclusive Royal Jelly: Nourishes skin. -Commiphora Oil: Renews skin.,1,1,1,1,0
Moisturizer,FRESH,Black Tea Age-Delay Cream,90,4.2,Visit the Fresh boutique,0,1,1,0,0
Moisturizer,LANCÔME,ABSOLUE PREMIUM ßx – Absolute Replenishing Cream SPF 15 Sunscreen,175,4.5,No Info,0,0,0,0,0
Moisturizer,KOPARI,Coconut Melt,28,4.2,Visit the Kopari boutique,1,1,1,1,1
Moisturizer,FARSÁLI,Volcanic Elixir Polynesian Beauty Oil,39,4.5,Calophyllum Tacamahaca Seed oil.,0,0,0,0,0
Moisturizer,SHISEIDO,White Lucent MultiBright Night Cream,92,4.1,Visit the Shiseido boutique,1,1,1,1,0
Moisturizer,JOSIE MARAN,100 percent Pure Argan Oil Light,48,4.4,Argan Oil Isostearyl Esters**. **Natural.,1,1,0,1,1
Moisturizer,ESTÉE LAUDER,Resilience Lift Night Lifting/Firming Face and Neck Creme,92,4.2,Visit the Estée Lauder boutique,1,1,1,1,0
Moisturizer,DIOR,Capture Totale Multi-Perfection Creme,165,4.4,Visit the Dior boutique,0,0,0,0,0
Moisturizer,PHILOSOPHY,Miraculous Anti-wrinkle Miracle Worker,60,4.3,Visit the philosophy boutique,1,1,1,1,1
Moisturizer,DIOR,Capture Totale Multi-Perfection Creme Refill,140,5.0,Visit the Dior boutique,0,0,0,0,0
Moisturizer,GUERLAIN,Lingerie de Peau BB Cream,54,4.3,-Titanium Dioxide 3.55%: Sunscreen. -Octinoxate 3.74%: Sunscreen. -Oxybenzone 1%: Sunscreen.,1,1,1,1,1
Moisturizer,BAREMINERALS,Prime Time BB Tinted Primer Broad Spectrum SPF 30,27,4.1,No Info,0,0,0,0,0
Moisturizer,CLARINS,Hydra-Essentiel Silky Cream - Normal to Dry Skin,48,4.5,Visit the Clarins boutique,0,1,1,0,1
Moisturizer,ESTÉE LAUDER,Revitalizing Supreme+ Global Anti-Aging Cell Power Creme SPF 15,82,4.0,Visit the Estée Lauder boutique,1,1,1,1,1
Moisturizer,IT COSMETICS,Your Skin But Better CC+ Illumination Cream with SPF 50+,38,3.8,Visit the IT Cosmetics boutique,0,0,0,0,0
Moisturizer,LANCÔME,Énergie de Vie The Smoothing & Plumping Water-Infused Cream,55,4.2,Visit the Lancôme boutique,1,1,1,1,1
